time,kinetic_energy,convective_wavelength_z05_2pi,convective_wavelength_z_weighted_2pi
19.8,2.39996099e-10,0.3135724334442076,0.3213860349311684
19.9,2.46270601e-10,0.31354592782698926,0.3213202996181662
20.0,2.52709731e-10,0.31352040238667883,0.3212561652607802
20.1,2.593172825e-10,0.3134957088401031,0.3211934157174359
20.2,2.66098048e-10,0.3134720501341474,0.32113222000581815
20.3,2.730570595e-10,0.313449111481228,0.3210723896303676
20.4,2.801972515e-10,0.31342699466894675,0.3210138334848973
20.5,2.875251325e-10,0.3134054942371441,0.3209563812950855
20.6,2.95044765e-10,0.3133844449380465,0.32089989671581104
20.7,3.02761403e-10,0.31336416721410465,0.32084467568510183
20.8,3.106785235e-10,0.313344221242347,0.3207903506366174
20.9,3.18803294e-10,0.31332472326170174,0.320736996340263
21.0,3.27141067e-10,0.3133057323341108,0.3206846498668318
21.1,3.356961885e-10,0.3132870587073779,0.3206333639950805
21.2,3.444748305e-10,0.3132685974523083,0.32058286603476666
21.3,3.534821235e-10,0.3132505546573802,0.32053332060534545
21.4,3.627242465e-10,0.3132327179509302,0.32048466047673396
21.5,3.722081005e-10,0.3132151658727746,0.3204368341268128
21.6,3.819383535e-10,0.3131978148565488,0.3203897328564761
21.7,3.919225275e-10,0.31318056939783623,0.3203433340462567
21.8,4.02166767e-10,0.31316339305416196,0.3202975641828865
21.9,4.12676826e-10,0.31314640269277283,0.32025238116902405
22.0,4.234617495e-10,0.3131295706676534,0.32020780636749935
22.1,4.34525877e-10,0.31311273298766723,0.3201636029022263
22.2,4.45877535e-10,0.3130959826439568,0.3201198411448803
22.3,4.57525009e-10,0.31307924235334295,0.32007634202468016
22.4,4.69475658e-10,0.3130625429034335,0.32003308417879583
22.5,4.81735084e-10,0.3130457316128256,0.3199899155541428
22.6,4.94313674e-10,0.3130289310036327,0.31994683489408415
22.7,5.0721877e-10,0.31301205688117173,0.3199036901455354
22.8,5.20458715e-10,0.31299517898879964,0.3198605567067201
22.9,5.3404321e-10,0.31297822758315935,0.31981725425022006
23.0,5.4798133e-10,0.3129613101067198,0.3197738550326663
23.1,5.6228135e-10,0.31294438069222813,0.3197302641779607
23.2,5.76951005e-10,0.312927297968015,0.31968647163300673
23.3,5.9200057e-10,0.31291020519070534,0.3196424560349743
23.4,6.07441615e-10,0.3128930049709269,0.3195982230387303
23.5,6.2328166e-10,0.31287579721132613,0.3195537550513558
23.6,6.3953327e-10,0.3128584204340406,0.3195090501878952
23.7,6.5620739e-10,0.31284112470984554,0.3194641869881649
23.8,6.7331398e-10,0.31282372028654465,0.3194190982220821
23.9,6.9086254e-10,0.312806228526968,0.3193738705976039
24.0,7.088654e-10,0.3127887531036731,0.31932852861915323
24.1,7.27335035e-10,0.31277120668038433,0.31928305280885544
24.2,7.4628272e-10,0.31275359428364974,0.31923750599856365
24.3,7.657215e-10,0.31273596555063343,0.3191919340555307
24.4,7.85663505e-10,0.31271820235745146,0.31914626597976253
24.5,8.06122155e-10,0.3127004240846248,0.3191006330898321
24.6,8.2711145e-10,0.3126826257056051,0.3190550303591911
24.7,8.48642785e-10,0.31266480533543695,0.3190094577878396
24.8,8.70734455e-10,0.3126469328148307,0.31896392982710375
24.9,8.93396135e-10,0.31262901505529017,0.3189184621849469
25.0,9.16644745e-10,0.3126111048355721,0.31887304920650217
25.1,9.4049497e-10,0.3125933227928342,0.3188277914227346
25.2,9.64963645e-10,0.31257552629877017,0.31878267626727347
25.3,9.9006524e-10,0.31255777001709206,0.3187376528463178
25.4,1.015816895e-09,0.31254000054072484,0.31869270105367464
25.5,1.042233765e-09,0.31252236112629345,0.31864791576544216
25.6,1.069335455e-09,0.31250472171186205,0.31860328064533844
25.7,1.097138915e-09,0.31248711434167575,0.3185587360031032
25.8,1.1256623e-09,0.31246960498918025,0.3185143804847457
25.9,1.15492409e-09,0.31245210945969243,0.3184700846566486
