case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek3e-3,0.003000000000000819,44.76769531365455,2.4133708408152054e-07,5.358063634783904e-07,6.645215370652297e-08,-6.049782147024658e-07,3.788903453312076e-12,-2.7234864210057687e-09
Ek3e-3,0.003000000000000819,45.16039439535328,2.274848562478231e-07,5.147235122449548e-07,6.13531688278236e-08,-5.789128457809499e-07,-1.589336842110839e-10,-2.67723102396034e-09
Ek3e-3,0.003000000000000819,45.553093477052,2.1612678981932974e-07,4.986368448816163e-07,5.93284563245105e-08,-5.574201011228468e-07,-1.245644927129666e-10,6.697645759929218e-10
Ek3e-3,0.003000000000000819,45.945792558750725,2.1600850057477819e-07,5.196509052547634e-07,5.94747292909922e-08,-5.652992179347802e-07,-1.317144040265768e-10,1.3958131015002011e-08
Ek3e-3,0.003000000000000819,46.33849164044945,2.1047117683436695e-07,4.859560589856513e-07,5.6111075841238666e-08,-5.556857957045609e-07,-5.224222822109161e-11,-1.3566418649449773e-08
Ek3e-3,0.003000000000000819,46.73119072214817,2.0486870061256994e-07,5.014681948813263e-07,5.652702841850256e-08,-5.511914770297021e-07,-1.2272063377000073e-10,6.926466903896872e-09
Ek3e-3,0.003000000000000819,47.12388980384689,1.927248885148995e-07,4.741468083732546e-07,5.2525822837183575e-08,-5.246005288100985e-07,-2.184891609010898e-10,2.290591561240697e-09
Ek3e-3,0.003000000000000819,47.51658888554562,1.8395804889946312e-07,4.4583831260118486e-07,5.139926596078626e-08,-5.090699433128641e-07,-8.235651852040897e-11,-1.175000823237252e-08
Ek3e-3,0.003000000000000819,47.909287967244346,1.8695026255122076e-07,4.521069891523389e-07,5.058763467558352e-08,-5.227842031435142e-07,-7.852485020776576e-11,-2.001105446538403e-08
Ek3e-3,0.003000000000000819,48.30198704894307,1.9188512610355627e-07,4.88780549745275e-07,5.368686338694052e-08,-5.450353936953798e-07,-7.728953686465897e-11,-2.4906910262994703e-09
Ek3e-3,0.003000000000000819,48.69468613064179,1.679695031960143e-07,4.267407119969797e-07,4.607250926621954e-08,-4.820068891351384e-07,-1.1647786027809717e-10,-9.077190011661066e-09
