case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek1p5e-4,0.00014999999999973672,113.09733552923255,5.222312612026887e-18,1.991454460290311e-18,5.693083973696322e-17,-6.509289166604864e-17,6.67216818227794e-22,-6.1712646856133435e-18
Ek1p5e-4,0.00014999999999973672,114.66813185602744,3.450625706351371e-18,1.1042507092704456e-18,3.757269449061535e-17,-4.362585388832723e-17,2.154317579968989e-22,-4.949124120199432e-18
Ek1p5e-4,0.00014999999999973672,116.23892818282235,2.0891790829951532e-18,5.57469448222793e-19,2.2737560413809803e-17,-2.6696825267919966e-17,-3.9377507072810025e-22,-3.401401630816636e-18
Ek1p5e-4,0.00014999999999973672,117.80972450961724,1.6104147088285159e-18,3.555792435305749e-19,1.7568323708442396e-17,-2.0912914207392778e-17,-8.249127350136622e-22,-2.9881863426847933e-18
Ek1p5e-4,0.00014999999999973672,119.38052083641213,1.2862324526818434e-18,2.856902331294207e-19,1.41610547315202e-17,-1.6979068317747844e-17,-5.488051939113223e-22,-2.5317745479043153e-18
Ek1p5e-4,0.00014999999999973672,120.95131716320704,1.213970211593715e-18,3.3646797392902957e-19,1.3684472763855741e-17,-1.6432719247462848e-17,3.3172667735647513e-22,-2.412110236355432e-18
Ek1p5e-4,0.00014999999999973672,122.52211349000193,1.1201341366087685e-18,3.181256726548916e-19,1.2797665342680536e-17,-1.55697266042883e-17,-3.5832956837161083e-22,-2.4535772593845017e-18
Ek1p5e-4,0.00014999999999973672,124.09290981679683,1.0860545879293354e-18,3.0530120023697805e-19,1.2663410298499788e-17,-1.5425026893109227e-17,4.3568961296596685e-23,-2.4563589633337573e-18
Ek1p5e-4,0.00014999999999973672,125.66370614359172,1.1180360089376405e-18,3.392407091009786e-19,1.3343215597474859e-17,-1.6320839116651446e-17,3.402949404542225e-22,-2.6387231050160626e-18
Ek1p5e-4,0.00014999999999973672,127.23450247038662,9.969676637479344e-19,2.825717353702344e-19,1.2079041395335309e-17,-1.4867078597211535e-17,1.1291144958122128e-22,-2.5055783779555736e-18
Ek1p5e-4,0.00014999999999973672,128.8052987971815,1.0083597007793965e-18,3.0264932731907324e-19,1.248912022382273e-17,-1.541276546895172e-17,-8.006548581676536e-23,-2.6209158523241018e-18
Ek1p5e-4,0.00014999999999973672,130.37609512397643,8.460949278927992e-19,2.4098549793046016e-19,1.0621632545637276e-17,-1.3196013374546839e-17,2.1518780932579284e-22,-2.333610518788429e-18
