Ra,Pr,Ek,AR,Nx,Ny,Nz,time,frame,field_path,inertia_bulk,coriolis_bulk,viscous_bulk,buoyancy_bulk,drag_bulk,local_Ro_force,buoyancy_power_bulk,viscous_dissipation_bulk,drag_dissipation_bulk,regime
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,810.0,81,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00081.h5,8.098304834841721e-07,0.0006580501451642766,4.21771599780021e-06,0.001128631526932125,0.0,0.00123065162956845,3.0458619658225066e-10,2.3673235471585936e-09,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,860.0,86,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00086.h5,3.7327987492686833e-07,0.000550408506840802,3.3454489389042628e-06,0.000614974865613082,0.0,0.0006781869652949138,-1.2572590935460012e-09,7.954852185731106e-10,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,910.0,91,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00091.h5,1.247410696720394e-06,0.0004164401919193521,2.4672192117213177e-05,0.00036559057647226326,0.0,0.0029954137975279,1.1001623503635357e-08,4.791058441733135e-09,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,960.0,96,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00096.h5,0.0022700115730465804,0.008872048832080948,0.001415079094275444,0.003711523968643542,0.0,0.2558610323286675,1.69282949126189e-05,1.079637831761909e-05,0.0,geostrophic leading; CIA/VAC mixed ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,1010.0,101,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00101.h5,0.003564437225234616,0.015805705955982303,0.0023020480621144673,0.004661236250228057,0.0,0.22551585074158054,2.9229925040526194e-05,2.7649438483411184e-05,0.0,geostrophic leading; CIA/VAC mixed ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,1060.0,106,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00106.h5,5.6478587476544525e-06,0.0012941517821810373,2.5470427813856845e-05,0.0014312091708005468,0.0,0.004364139373309135,-2.223708279424981e-09,1.9546440178006353e-08,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,1110.0,111,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00111.h5,6.739834515769978e-07,0.0006147357576159422,4.074797127726456e-06,0.0010052729991770228,0.0,0.0010963791242449097,1.7212949661040325e-10,2.055121358393835e-09,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,1160.0,116,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00116.h5,3.0924578094915514e-07,0.0005050810277038003,4.2888134299946156e-06,0.0005390091804712007,0.0,0.0006122696438530834,-5.693270823478137e-10,7.692501767780087e-10,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,1200.0,120,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00120.h5,1.3775974615601824e-05,0.0005415508112657959,6.0095434567108006e-05,0.0004284742390308313,0.0,0.02543800937792429,6.102905159019702e-08,2.4262433954658725e-08,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.0004999999999999675,16.0,384,384,64,10.0,1,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00001.h5,1.775629976321556e-08,1.183525058320165e-05,3.831088350281061e-06,1.6189052440481462e-05,0.0,0.0015002892958107658,8.620430621032976e-10,1.618656573702108e-10,0.0,geostrophic leading; VAC-like ageostrophic balance
