time,kinetic_energy,two_pi_Lm
1231.3,1.120314045e-05,0.34296756066497336
1231.4,1.124085455e-05,0.34318253356707323
1231.5,1.127957795e-05,0.3433989553717049
1231.6,1.131932645e-05,0.3436167192647182
1231.7,1.13601106e-05,0.3438357090071849
1231.8,1.140196455e-05,0.3440558045902657
1231.9,1.14448678e-05,0.34427688097857295
1232.0,1.148884985e-05,0.34449881502167456
1232.1,1.153390215e-05,0.3447214741443607
1232.2,1.158003095e-05,0.34494473079796956
1232.3,1.16272646e-05,0.3451684517789726
1232.4,1.16755929e-05,0.345392498857293
1232.5,1.172503865e-05,0.34561673757276534
1232.6,1.177557935e-05,0.345841033465224
1232.7,1.182724135e-05,0.3460652545877775
1232.8,1.188002535e-05,0.3462892677368973
1232.9,1.19339406e-05,0.34651294599224025
1233.0,1.198898455e-05,0.3467361624334631
1233.1,1.204516875e-05,0.34695879265349683
1233.2,1.21025077e-05,0.3471807204134132
1233.3,1.216100765e-05,0.3474018275893284
1233.4,1.22206743e-05,0.34762199982727
1233.5,1.2281487e-05,0.3478411347113172
1233.6,1.234346615e-05,0.34805913799369076
1233.7,1.24066319e-05,0.3482759141699738
1233.8,1.247098035e-05,0.34849137339061637
1233.9,1.2536523e-05,0.34870543208925403
1234.0,1.2603264e-05,0.34891800984111476
1234.1,1.267120865e-05,0.34912903313293053
1234.2,1.27403594e-05,0.3493384303363888
1234.3,1.281071955e-05,0.34954613924795497
1234.4,1.288229345e-05,0.3497520964074575
1234.5,1.295508365e-05,0.34995624589454727
1234.6,1.30291036e-05,0.3501585305322378
1234.7,1.31043243e-05,0.3503589038249578
1234.8,1.318076695e-05,0.350557315507225
1234.9,1.32584151e-05,0.3507537203401051
1235.0,1.333728295e-05,0.3509480743413009
1235.1,1.341734345e-05,0.3511403366701079
1235.2,1.34986134e-05,0.35133046522918465
1235.3,1.358108625e-05,0.35151841854950805
1235.4,1.36647531e-05,0.35170415704701063
1235.5,1.374961575e-05,0.35188764176594356
1235.6,1.38356683e-05,0.3520688331222393
1235.7,1.392289955e-05,0.3522476959300603
1235.8,1.401129075e-05,0.35242419500356864
1235.9,1.41008439e-05,0.35259830018347504
1236.0,1.41915729e-05,0.35276998256712694
1236.1,1.428343535e-05,0.35293921011027934
1236.2,1.437643745e-05,0.35310596019346513
1236.3,1.44705713e-05,0.35327021145385423
1236.4,1.456582355e-05,0.35343194504189074
1236.5,1.466218665e-05,0.3535911452496114
1236.6,1.475965235e-05,0.35374780328055677
1236.7,1.485820255e-05,0.35390191096658596
1236.8,1.49578309e-05,0.35405346390946923
1236.9,1.50585332e-05,0.354202458967614
1237.0,1.51602854e-05,0.3543488992826129
1237.1,1.526309105e-05,0.3544927905093326
1237.2,1.536693855e-05,0.3546341364176844
1237.3,1.54718145e-05,0.35477294454749053
1237.4,1.55776781e-05,0.35490922620848475
1237.5,1.56845593e-05,0.35504299208208195
1237.6,1.57924309e-05,0.3551742497081045
1237.7,1.59012759e-05,0.35530300976796747
1237.8,1.6011086e-05,0.35542928545636
1237.9,1.61218605e-05,0.3555530811715118
1238.0,1.623358215e-05,0.35567440633820074
1238.1,1.63462264e-05,0.35579326661129373
1238.2,1.645980215e-05,0.35590966890229453
1238.3,1.65743059e-05,0.35602361635279584
1238.4,1.66897075e-05,0.35613511084775323
1238.5,1.680602265e-05,0.3562441555287593
1238.6,1.69232302e-05,0.3563507485108585
1238.7,1.704133555e-05,0.35645489293564353
1238.8,1.71603267e-05,0.35655659131638856
1238.9,1.728019715e-05,0.35665584553804897
1239.0,1.74009637e-05,0.35675265748558055
1239.1,1.75226145e-05,0.3568470315572129
1239.2,1.764517725e-05,0.35693897215117576
1239.3,1.776862135e-05,0.35702848743561016
1239.4,1.789299165e-05,0.3571155880919309
1239.5,1.801828895e-05,0.3572002816599605
1239.6,1.814450625e-05,0.35728258196270657
1239.7,1.827166125e-05,0.35736250722140656
1239.8,1.839978905e-05,0.3574400775422534
1239.9,1.85288893e-05,0.3575153149163957
1240.0,1.865899885e-05,0.3575882425916191
1240.1,1.87901224e-05,0.3576588882139389
1240.2,1.89222911e-05,0.35772728382760016
1240.3,1.905552955e-05,0.3577934627334851
1240.4,1.91898739e-05,0.357857462002387
1240.5,1.932535665e-05,0.357919317448462
1240.6,1.9461976e-05,0.35797907116905187
1240.7,1.959980205e-05,0.3580367684030906
1240.8,1.9738862e-05,0.35809245438951254
1240.9,1.98791924e-05,0.3581461731106148
1241.0,2.002083725e-05,0.35819797608851695
1241.1,2.016384315e-05,0.3582479129603828
1241.2,2.03082391e-05,0.3582960352483319
1241.3,2.04540686e-05,0.35834239698775805
1241.4,2.060141655e-05,0.3583870515857362
1241.5,2.07503177e-05,0.3584300499360673
1241.6,2.09008222e-05,0.35847144607414516
1241.7,2.105297495e-05,0.3585112952920003
1241.8,2.1206841e-05,0.35854965162502656
1241.9,2.13624826e-05,0.358586570993573
1242.0,2.151994925e-05,0.35862210806135186
1242.1,2.167930205e-05,0.35865632000534947
1242.2,2.184061825e-05,0.35868926148927793
1242.3,2.20039531e-05,0.35872098780516803
1242.4,2.216937725e-05,0.3587515536167319
1242.5,2.23369784e-05,0.3587810117027261
1242.6,2.250680095e-05,0.3588094135852701
1242.7,2.2678914e-05,0.3588368151847132
1242.8,2.285339265e-05,0.35886326739485647
1242.9,2.30303372e-05,0.3588888198528637
1243.0,2.32097834e-05,0.35891352596581005
1243.1,2.3391808e-05,0.35893743662749655
1243.2,2.35765064e-05,0.35896060398836116
1243.3,2.376394875e-05,0.3589830751722937
1243.4,2.395419485e-05,0.3590048991881397
1243.5,2.4147337e-05,0.3590261250447444
1243.6,2.434342835e-05,0.35904679609608653
1243.7,2.454254505e-05,0.35906695946605577
1243.8,2.474476105e-05,0.3590866578803123
1243.9,2.49501447e-05,0.3591059321795606
1244.0,2.51587628e-05,0.3591248213195496
1244.1,2.537067695e-05,0.359143361742754
1244.2,2.55859392e-05,0.359161585493419
1244.3,2.58046393e-05,0.3591795208458783
1244.4,2.602679945e-05,0.35919719230455477
1244.5,2.62524738e-05,0.3592146218605969
1244.6,2.64817332e-05,0.35923182710692353
1244.7,2.67146197e-05,0.3592488212382238
1244.8,2.695114965e-05,0.35926561619254993
1244.9,2.71913844e-05,0.3592822220229983
1245.0,2.74353674e-05,0.35929864312779863
1245.1,2.768312705e-05,0.359314882020225
1245.2,2.793469555e-05,0.35933094121355164
1245.3,2.81901149e-05,0.3593468188228229
1245.4,2.844938925e-05,0.3593625161046758
1245.5,2.871257005e-05,0.3593780311741548
1245.6,2.89796444e-05,0.3593933634029414
1245.7,2.925065905e-05,0.3594085102777614
1245.8,2.95256104e-05,0.3594234705419778
1245.9,2.9804481e-05,0.35943824545222763
1246.0,3.00873187e-05,0.3594528350085109
1246.1,3.037410705e-05,0.359467236069235
1246.2,3.06648289e-05,0.3594814461211257
1246.3,3.09594607e-05,0.35949546453586456
1246.4,3.125801825e-05,0.3595092850302662
1246.5,3.156047305e-05,0.35952289755123423
1246.6,3.186678515e-05,0.35953629393062764
1246.7,3.21769071e-05,0.3595494609737574
1246.8,3.249084745e-05,0.3595623810877045
1246.9,3.28085111e-05,0.3595750335379576
1247.0,3.312987415e-05,0.3595873938200939
1247.1,3.345487825e-05,0.3595994305181869
1247.2,3.37834673e-05,0.35961110970303584
1247.3,3.41155541e-05,0.3596223905339363
1247.4,3.445111025e-05,0.3596332258869986
1247.5,3.47900297e-05,0.35964356486842153
1247.6,3.51322443e-05,0.35965334967290036
1247.7,3.54776786e-05,0.35966251746858213
1247.8,3.582627125e-05,0.35967100102538385
1247.9,3.61779361e-05,0.35967872431676345
1248.0,3.653257305e-05,0.35968561257281567
1248.1,3.689008945e-05,0.3596915891386799
1248.2,3.72504093e-05,0.3596965735895841
1248.3,3.761345415e-05,0.35970048424411927
1248.4,3.797913385e-05,0.35970323690760236
1248.5,3.834735975e-05,0.35970474927030577
1248.6,3.87180396e-05,0.3597049427924133
1248.7,3.909109e-05,0.359703740819064
1248.8,3.94664605e-05,0.3597010673237158
