time,F_I,F_C,F_P,F_V,F_B,F_CP
682.7,0.0623401783,0.0110649531,0.0696275905,0.00501707915,0.0144614857,0.06159451085168668
682.8,0.0623480704,0.0110651567,0.0696325049,0.00502091209,0.0144603013,0.06160117912062658
682.9,0.0623592584,0.0110653528,0.0696373976,0.00502468824,0.014459558,0.06160782302770763
683.0,0.0623739014,0.0110655388,0.0696420668,0.0050264586,0.014458333,0.06161396979412868
683.1,0.0623906857,0.0110657165,0.0696461667,0.00502647407,0.0144577515,0.061619285065078494
683.2,0.0624061703,0.0110658891,0.0696521789,0.00502640287,0.0144557887,0.06162680985668922
683.3,0.0624207097,0.0110660582,0.0696590073,0.0050260478,0.0144544333,0.061635377897074135
683.4,0.0624389984,0.0110662256,0.0696674062,0.00502574418,0.0144538389,0.06164591030320834
683.5,0.0624607422,0.0110663889,0.069677995,0.00502619477,0.0144530277,0.0616592700719709
683.6,0.0624813288,0.0110665393,0.0696890737,0.00502790971,0.0144519856,0.061673237311174904
683.7,0.0625003951,0.0110666663,0.0696968668,0.00503130011,0.0144511544,0.06168353726826326
683.8,0.062514064,0.0110667655,0.0697007265,0.00503572574,0.0144498758,0.06168923311518852
683.9,0.0625280526,0.0110668402,0.0697031769,0.00503869906,0.0144494178,0.06169348978762228
684.0,0.0625417473,0.0110668981,0.0697072569,0.00504000362,0.0144486879,0.061699977925376376
684.1,0.0625494576,0.0110669473,0.069709778,0.00504035273,0.0144480351,0.06170500916656372
684.2,0.0625535545,0.0110669962,0.0697102846,0.00503989845,0.0144480541,0.06170760457140435
