Ra,Ek,time,z,inertia,coriolis,viscous,buoyancy,drag,buoyancy_power,viscous_dissipation,drag_dissipation
8000000.0,0.00020000000000066313,,0.9743657385429216,2.6047120126630512e-05,0.0008260742780361438,5.583542716722127e-05,2.525787468029018e-05,0.0,1.8440482002024594e-10,2.651622234001736e-08,0.0
8000000.0,0.00020000000000066313,,0.9849760574073374,2.5945682200074795e-05,0.0008259101175723246,5.5604582775855587e-05,1.4785553327664773e-05,0.0,6.267098976175665e-11,2.634911518903819e-08,0.0
8000000.0,0.00020000000000066313,,0.995077703358376,2.5898655059260953e-05,0.0008258326875811093,5.549628630121006e-05,4.841754640513011e-06,0.0,6.695044134021131e-12,2.6270737349706962e-08,0.0
8000000.0,,,0.004922296641623997,1.1795398759814868e-05,0.0,0.0020574024824506023,0.0001630480949888038,0.0,1.1247896994734499e-10,5.279234357758054e-05,0.0
8000000.0,,,0.01502394259266257,8.162444270433622e-05,0.0,0.001924182981469462,0.0004979568592180917,0.0,-2.7194320904013323e-10,4.1698536843133735e-05,0.0
8000000.0,,,0.025634261457078256,0.00020856062967965601,0.0,0.0017329654253141467,0.0008497828267338321,0.0,-9.908847993953792e-09,3.294280256024154e-05,0.0
8000000.0,,,0.0367421244755721,0.00037652202890667367,0.0,0.0015073462619541367,0.0012159447466000787,0.0,-4.9650458815568385e-08,2.626925262539615e-05,0.0
8000000.0,,,0.04833588103373401,0.0005777594616951734,0.0,0.0013120764939137392,0.0015912814640838323,0.0,-1.4940415629712276e-07,2.1294476749527304e-05,0.0
8000000.0,,,0.06040337088192818,0.0008052389608689942,0.0,0.001144868879726749,0.001968303001237563,0.0,-3.413910893401754e-07,1.768272653165005e-05,0.0
8000000.0,,,0.07293193688971603,0.001048374184895026,0.0,0.001005110366641738,0.002338330503999116,0.0,-6.526730511365303e-07,1.51411361041716e-05,0.0
8000000.0,,,0.08590843832143788,0.0012950850687485067,0.0,0.0008918806684999191,0.0026929278021577034,0.0,-1.1006885750352764e-06,1.3421743875695714e-05,0.0
8000000.0,,,0.09931926461903035,0.0015385347537175509,0.0,0.0008027681091159853,0.003024807474582985,0.0,-1.6921988536640603e-06,1.2321043366568408e-05,0.0
8000000.0,,,0.11315034967762214,0.001778573625162327,0.0,0.0007361170261763298,0.0033280420601682352,0.0,-2.4247094261929625e-06,1.1672265252168264e-05,0.0
8000000.0,,,0.1273871865989355,0.0020165646178402544,0.0,0.0006911047414389559,0.0035978695768625448,0.0,-3.288058527343516e-06,1.1341168181158521e-05,0.0
8000000.0,,,0.14201484290701943,0.0022525849641275224,0.0,0.0006643108946959957,0.0038305491806340853,0.0,-4.264903331762536e-06,1.122753288135538e-05,0.0
