Ek,time,F_P_h
0.0002,1230.7,0.00548980896
0.0002,1230.8,0.00549895499
0.0002,1230.9,0.00550823894
0.0002,1231.0,0.00551745344
0.0002,1231.1,0.00552651797
0.0002,1231.2,0.00553565635
0.0002,1231.3,0.00554478078
0.0002,1231.4,0.00555394115
0.0002,1231.5,0.0055631719
0.0002,1231.6,0.00557234477
0.0002,1231.7,0.00558145009
0.0002,1231.8,0.00559074063
0.0002,1231.9,0.00559995169
0.0002,1232.0,0.00560923904
0.0002,1232.1,0.00561855056
0.0002,1232.2,0.00562789095
0.0002,1232.3,0.00563726868
0.0002,1232.4,0.00564664045
0.0002,1232.5,0.00565618014
0.0002,1232.6,0.00566570014
0.0002,1232.7,0.0056753268
0.0002,1232.8,0.0056850099
0.0002,1232.9,0.00569472306
0.0002,1233.0,0.00570461891
0.0002,1233.1,0.00571452665
0.0002,1233.2,0.00572449353
0.0002,1233.3,0.0057345806
0.0002,1233.4,0.00574478607
0.0002,1233.5,0.00575503236
0.0002,1233.6,0.00576539809
0.0002,1233.7,0.00577583685
0.0002,1233.8,0.00578641182
0.0002,1233.9,0.00579714549
0.0002,1234.0,0.00580788311
0.0002,1234.1,0.00581885278
0.0002,1234.2,0.00582984405
0.0002,1234.3,0.00584101741
0.0002,1234.4,0.00585228497
0.0002,1234.5,0.00586370708
0.0002,1234.6,0.00587518464
0.0002,1234.7,0.00588683927
0.0002,1234.8,0.00589867496
0.0002,1234.9,0.00591059893
0.0002,1235.0,0.00592266886
0.0002,1235.1,0.00593483454
0.0002,1235.2,0.00594719735
0.0002,1235.3,0.00595964001
0.0002,1235.4,0.00597233773
0.0002,1235.5,0.00598514727
0.0002,1235.6,0.00599809039
0.0002,1235.7,0.00601110714
0.0002,1235.8,0.00602445082
0.0002,1235.9,0.00603777323
0.0002,1236.0,0.00605147289
0.0002,1236.1,0.00606509405
0.0002,1236.2,0.00607893467
0.0002,1236.3,0.00609295331
0.0002,1236.4,0.00610715849
0.0002,1236.5,0.00612151318
0.0002,1236.6,0.0061359923
0.0002,1236.7,0.00615066211
