time,L_peak,L_integral,ell_m,lambda_m_2pi_ell_m,cluster_count_mprime_gt0,mean_radius_mprime_gt0,max_radius_mprime_gt0,cluster_count_mprime_gtsigma,mean_radius_mprime_gtsigma,max_radius_mprime_gtsigma
18.2,1.23076923,0.20550662,0.11779942,0.740155583,93.0,0.15269253,5.95518241,362.0,0.14693134,0.525389717
18.298,1.23076923,0.206863364,0.118382757,0.743820801,88.0,0.153555728,5.97623326,354.0,0.148677363,0.554183457
18.403,1.45454545,0.208330786,0.119009269,0.747757292,85.0,0.159922455,5.97456857,353.0,0.148456375,0.553060491
18.501,1.45454545,0.209713082,0.119595591,0.751441259,89.0,0.156751143,5.97321567,352.0,0.147961971,0.553060491
18.599,1.77777778,0.211107755,0.120183467,0.755134996,90.0,0.164075851,5.94033964,355.0,0.146534761,0.548545636
18.697,1.77777778,0.212513508,0.120772452,0.758835695,95.0,0.162947585,5.9193712,342.0,0.149702316,0.550807689
18.802,1.77777778,0.214030513,0.121404306,0.76280575,95.0,0.167608633,5.90664916,339.0,0.150323759,0.548545636
18.9,1.77777778,0.215455189,0.121994212,0.76651224,104.0,0.165719279,5.87265954,335.0,0.151315422,0.548545636
18.998,1.77777778,0.216886447,0.122582504,0.770208588,106.0,0.172342044,5.76614796,333.0,0.151849027,0.547411104
19.103,1.77777778,0.218424676,0.123208507,0.774141881,114.0,0.162818963,5.77487468,323.0,0.155770434,0.533608602
19.201,1.77777778,0.219862848,0.123787224,0.777778069,106.0,0.169398964,5.7796096,317.0,0.156572445,0.538248764
19.299,1.77777778,0.221301595,0.124359576,0.781374262,110.0,0.167724825,5.76905834,315.0,0.1574385,0.541702803
19.397,1.77777778,0.222739162,0.124925233,0.78492839,107.0,0.173584223,5.75027676,317.0,0.156279136,0.541702803
19.502,1.77777778,0.224276558,0.125524483,0.788693589,105.0,0.193785207,5.58040346,325.0,0.15450602,0.542849265
19.6,1.77777778,0.22570776,0.126078452,0.79217428,107.0,0.186663347,5.6164942,324.0,0.154226927,0.543993311
19.698,1.77777778,0.227134515,0.126628089,0.795627749,109.0,0.179926456,5.66674479,327.0,0.152797511,0.546274215
19.803,1.77777778,0.228656914,0.127212367,0.799298874,108.0,0.17618031,5.72589891,325.0,0.153434425,0.548545636
19.901,1.77777778,0.230070235,0.127752909,0.802695202,116.0,0.170586641,5.68438067,322.0,0.154056815,0.548545636
19.999,1.77777778,0.231474086,0.128287637,0.806054997,122.0,0.166826584,5.68077033,323.0,0.1531497,0.548545636
20.097,1.77777778,0.232866238,0.128815025,0.809368675,117.0,0.171077026,5.68798873,322.0,0.153649914,0.548545636
20.202,1.77777778,0.234343003,0.129370969,0.812861769,106.0,0.172259896,5.77691978,330.0,0.150627927,0.548545636
20.3,1.77777778,0.235706151,0.129880788,0.816065058,113.0,0.165764083,5.78090026,336.0,0.148235639,0.548545636
20.398,1.77777778,0.237053055,0.130380805,0.819206757,108.0,0.169484799,5.78960474,351.0,0.14408273,0.550807689
20.503,1.77777778,0.238477442,0.130903931,0.822493658,110.0,0.1683375,5.79271798,343.0,0.146751645,0.551935239
20.601,1.77777778,0.239787687,0.131379172,0.825479684,108.0,0.173556209,5.7911079,335.0,0.148736231,0.554183457
20.699,1.77777778,0.241077338,0.131841501,0.828384582,116.0,0.177044734,5.61760101,326.0,0.15154346,0.556422591
20.797,1.77777778,0.242344763,0.132290971,0.831208687,122.0,0.170946483,5.61627281,317.0,0.154118863,0.555304153
20.902,1.77777778,0.243676531,0.132758298,0.83414499,122.0,0.170049999,5.6205883,315.0,0.154745101,0.555304153
21.0,1.77777778,0.244893985,0.133181224,0.836802307,117.0,0.163996426,5.65532344,315.0,0.154530883,0.556422591
21.098,1.77777778,0.246086105,0.133591565,0.83938056,112.0,0.168853716,5.65840069,312.0,0.154443434,0.550807689
21.203,1.77777778,0.247334794,0.134017593,0.842057373,116.0,0.182012215,4.62468257,320.0,0.151147186,0.548545636
21.301,1.77777778,0.248473032,0.134402622,0.84447658,107.0,0.194894407,4.630728,314.0,0.152731877,0.548545636
21.399,1.77777778,0.249584237,0.134775369,0.846818617,108.0,0.179402762,5.57181847,317.0,0.151797934,0.551935239
21.497,1.77777778,0.250667539,0.135135616,0.849082117,107.0,0.181397998,5.57549937,314.0,0.153766317,0.550807689
21.602,1.77777778,0.251795973,0.135507189,0.851416779,110.0,0.193537549,5.49903984,311.0,0.153341467,0.553060491
21.7,1.77777778,0.252817682,0.135839914,0.85350735,111.0,0.194493334,5.45397196,308.0,0.153283588,0.606667789
21.798,1.77777778,0.253807934,0.136158813,0.855511056,111.0,0.189421533,5.52768146,304.0,0.154640843,0.608713892
21.903,1.77777778,0.254833535,0.136485522,0.857563824,109.0,0.187001542,5.55505638,302.0,0.155392779,0.61075314
22.001,1.77777778,0.255757713,0.136776918,0.859394721,110.0,0.189563181,5.52711908,306.0,0.154406894,0.612785602
