time,A_m,sqrt_A_m
34.0,0.000980440087,0.0313119799
34.1,0.000980497048,0.0313128895
34.2,0.000980567183,0.0313140094
34.3,0.000980649291,0.0313153204
34.4,0.000980742188,0.0313168036
34.5,0.000980844705,0.0313184403
34.6,0.000980955684,0.0313202121
34.7,0.00098107397,0.0313221003
34.8,0.000981198407,0.0313240867
34.9,0.000981327827,0.0313261524
35.0,0.000981461042,0.0313282786
35.1,0.000981596841,0.0313304459
35.2,0.000981733988,0.0313326346
35.3,0.000981871221,0.0313348244
35.4,0.000982007258,0.031336995
35.5,0.000982140796,0.0313391256
35.6,0.000982270523,0.0313411953
35.7,0.000982395115,0.0313431829
35.8,0.00098251325,0.0313450674
35.9,0.000982623605,0.0313468277
36.0,0.000982724863,0.0313484428
36.1,0.000982815721,0.0313498919
36.2,0.000982894889,0.0313511545
36.3,0.000982961095,0.0313522104
36.4,0.000983013086,0.0313530395
36.5,0.000983049625,0.0313536222
36.6,0.000983069495,0.0313539391
36.7,0.000983071498,0.031353971
36.8,0.000983054453,0.0313536992
36.9,0.000983017198,0.0313531051
37.0,0.000982958584,0.0313521703
37.1,0.000982877472,0.0313508767
37.2,0.000982772729,0.0313492062
37.3,0.000982643221,0.0313471406
37.4,0.000982487807,0.0313446615
37.5,0.000982305336,0.0313417507
37.6,0.000982094641,0.0313383893
37.7,0.000981854536,0.0313345582
37.8,0.000981583813,0.031330238
37.9,0.000981281238,0.0313254088
38.0,0.000980945549,0.0313200503
38.1,0.000980575453,0.0313141414
38.2,0.000980169625,0.0313076608
38.3,0.000979726706,0.0313005864
38.4,0.000979245308,0.0312928955
38.5,0.000978724013,0.0312845651
38.6,0.000978161382,0.0312755717
38.7,0.000977555963,0.0312658914
38.8,0.000976906298,0.0312555003
38.9,0.000976210939,0.0312443745
39.0,0.000975468453,0.0312324904
39.1,0.000974677441,0.0312198245
39.2,0.000973836548,0.0312063543
39.3,0.00097294448,0.031192058
39.4,0.000972000015,0.0311769148
39.5,0.000971002026,0.0311609054
39.6,0.000969949487,0.0311440121
39.7,0.000968841491,0.0311262187
39.8,0.00096767726,0.0311075113
39.9,0.000966456161,0.031087878
40.0,0.000965177718,0.0310673095
40.1,0.000963841616,0.0310457987
40.2,0.000962447714,0.0310233414
40.3,0.000960996051,0.0309999363
40.4,0.000959486848,0.0309755847
40.5,0.000957920513,0.030950291
40.6,0.000956297647,0.0309240626
40.7,0.000954619041,0.0308969099
40.8,0.000952885678,0.0308688464
40.9,0.000951098731,0.0308398886
41.0,0.000949259565,0.0308100562
41.1,0.00094736973,0.0307793718
41.2,0.000945430957,0.030747861
41.3,0.000943445158,0.0307155524
41.4,0.000941414414,0.0306824773
41.5,0.000939340973,0.03064867
41.6,0.000937227241,0.0306141673
41.7,0.000935075772,0.0305790087
41.8,0.000932889262,0.0305432359
41.9,0.000930670541,0.0305068933
42.0,0.00092842256,0.0304700272
