time,A_m,sqrt_A_m
378.798,0.00267584967,0.0517286155
378.903,0.00267648853,0.0517347904
379.001,0.00267713129,0.051741002
379.099,0.0026777919,0.0517473855
379.197,0.0026784493,0.0517537371
379.302,0.00267913917,0.0517604016
379.4,0.00267976798,0.0517664755
379.498,0.00268037742,0.0517723615
379.603,0.00268103032,0.0517786666
379.701,0.0026816648,0.0517847931
379.799,0.00268229837,0.0517909102
379.897,0.00268286595,0.0517963894
380.002,0.00268335657,0.0518011252
380.1,0.0026837526,0.0518049476
380.198,0.00268415376,0.0518088194
380.303,0.00268462311,0.0518133487
380.401,0.00268509767,0.051817928
380.499,0.00268561759,0.0518229446
380.597,0.00268620729,0.0518286339
380.702,0.00268690462,0.0518353607
380.8,0.00268757204,0.0518417982
380.898,0.00268821912,0.0518480387
381.003,0.00268887503,0.0518543637
381.101,0.00268949592,0.0518603502
381.199,0.00269016979,0.0518668467
381.297,0.00269090698,0.0518739528
381.402,0.00269175561,0.0518821319
381.5,0.00269258087,0.0518900845
381.598,0.0026934131,0.051898103
381.703,0.00269428027,0.0519064569
381.801,0.00269504279,0.0519138015
381.899,0.00269575917,0.0519207008
381.997,0.00269645949,0.0519274444
382.102,0.00269720858,0.0519346569
382.2,0.00269788412,0.0519411602
382.298,0.0026985343,0.0519474186
382.403,0.00269920742,0.051953897
382.501,0.00269978927,0.0519594964
382.599,0.00270033722,0.0519647691
382.697,0.00270090158,0.0519701989
382.802,0.00270152703,0.051976216
382.9,0.00270211315,0.0519818541
382.998,0.00270269198,0.0519874213
383.103,0.00270328763,0.0519931498
383.201,0.00270381069,0.0519981797
383.299,0.00270430066,0.0520028909
383.397,0.00270475967,0.052007304
383.502,0.00270520793,0.0520116134
383.6,0.00270561184,0.0520154962
383.698,0.00270605113,0.0520197186
383.803,0.00270655566,0.0520245679
383.901,0.00270702822,0.0520291093
383.999,0.00270748302,0.0520334798
384.097,0.00270792947,0.0520377696
384.202,0.00270839827,0.0520422739
384.3,0.00270883259,0.0520464464
384.398,0.00270928181,0.0520507619
384.503,0.00270974857,0.0520552454
384.601,0.00271016949,0.0520592882
384.699,0.00271059407,0.0520633659
384.797,0.00271101253,0.0520673845
384.902,0.00271144618,0.0520715486
385.0,0.00271183998,0.0520753299
385.098,0.00271222068,0.052078985
385.203,0.0027125932,0.0520825614
385.301,0.00271289451,0.0520854539
385.399,0.00271315666,0.0520879704
385.497,0.00271338405,0.0520901531
385.602,0.00271359601,0.0520921876
385.7,0.00271376942,0.052093852
385.798,0.00271392179,0.0520953144
385.903,0.00271405643,0.0520966067
386.001,0.00271412732,0.0520972871
386.099,0.00271414542,0.0520974608
386.197,0.00271416148,0.0520976149
386.302,0.0027141991,0.0520979759
386.4,0.00271423645,0.0520983344
386.498,0.00271426063,0.0520985665
386.603,0.00271427769,0.0520987302
386.701,0.0027143028,0.0520989712
386.799,0.00271435173,0.0520994407
386.897,0.002714435,0.0521002399
387.002,0.00271456704,0.0521015071
387.1,0.00271471752,0.0521029512
387.198,0.00271488841,0.052104591
387.303,0.00271511772,0.0521067915
387.401,0.00271538552,0.0521093611
387.499,0.0027156952,0.0521123325
387.597,0.00271602529,0.0521154996
387.702,0.00271636795,0.0521187869
387.8,0.00271665813,0.0521215707
387.898,0.00271692076,0.05212409
388.003,0.0027171915,0.052126687
388.101,0.00271745438,0.0521292085
388.199,0.0027177315,0.0521318664
388.297,0.00271801549,0.0521345901
388.402,0.0027183243,0.0521375518
388.5,0.00271861699,0.0521403586
388.598,0.00271890077,0.0521430798
388.703,0.00271918201,0.0521457766
388.801,0.00271945159,0.0521483614
388.899,0.00271974742,0.0521511977
388.997,0.00272004696,0.0521540695
389.102,0.00272034221,0.0521568999
389.2,0.00272058898,0.0521592655
389.298,0.00272082041,0.0521614839
389.403,0.00272107778,0.052163951
389.501,0.00272133859,0.0521664508
389.599,0.00272160252,0.0521689804
389.697,0.00272185806,0.0521714296
389.802,0.00272213793,0.0521741117
389.9,0.0027224273,0.0521768847
389.998,0.00272275315,0.0521800072
390.103,0.00272313593,0.052183675
390.201,0.00272351539,0.0521873106
390.299,0.00272391463,0.0521911356
390.397,0.00272437954,0.0521955893
390.502,0.00272498877,0.052201425
390.6,0.00272564346,0.0522076954
390.698,0.00272634821,0.0522144444
390.803,0.00272712578,0.0522218898
