time,A_m,sqrt_A_m
40.4,0.00196998217,0.0443844811
40.5,0.00197107221,0.044396759
40.6,0.00197221847,0.0444096664
40.7,0.00197341981,0.04442319
40.8,0.00197467524,0.0444373181
40.9,0.00197598388,0.0444520403
41.0,0.00197734476,0.0444673449
41.1,0.00197875659,0.044483217
41.2,0.00198021767,0.0444996368
41.3,0.0019817259,0.04451658
41.4,0.00198327872,0.0445340176
41.5,0.0019848732,0.0445519158
41.6,0.00198650645,0.0445702417
41.7,0.00198817643,0.0445889721
41.8,0.00198988246,0.0446080986
41.9,0.00199162422,0.0446276173
42.0,0.00199340087,0.044647518
42.1,0.00199521103,0.0446677851
42.2,0.00199705354,0.044688405
42.3,0.00199892767,0.044709369
42.4,0.00200083247,0.0447306659
42.5,0.00200276607,0.0447522745
42.6,0.00200472669,0.0447741744
42.7,0.00200671518,0.0447963746
42.8,0.00200873665,0.0448189318
42.9,0.00201079865,0.0448419296
43.0,0.00201290618,0.044865423
43.1,0.00201505606,0.0448893758
43.2,0.00201723911,0.0449136851
43.3,0.00201944581,0.0449382444
43.4,0.00202167072,0.0449629928
43.5,0.00202391722,0.0449879676
43.6,0.00202617575,0.0450130619
43.7,0.00202843654,0.0450381676
43.8,0.00203070362,0.045063329
43.9,0.00203298406,0.0450886245
44.0,0.00203528017,0.0451140795
44.1,0.00203759364,0.0451397125
44.2,0.00203992433,0.0451655215
44.3,0.00204226853,0.0451914653
44.4,0.00204462382,0.0452175167
44.5,0.00204699132,0.0452436882
44.6,0.00204937102,0.0452699793
44.7,0.00205175656,0.0452963195
44.8,0.0020541407,0.045322629
44.9,0.00205651982,0.0453488679
45.0,0.00205889266,0.0453750224
45.1,0.00206125707,0.045401069
45.2,0.00206361209,0.0454269974
45.3,0.00206596275,0.0454528629
45.4,0.00206831737,0.0454787573
45.5,0.00207068469,0.0455047766
45.6,0.0020730673,0.0455309489
45.7,0.00207545615,0.0455571745
45.8,0.00207786298,0.0455835824
45.9,0.00208026238,0.0456098934
46.0,0.00208260703,0.0456355895
46.1,0.00208490382,0.045660747
46.2,0.00208718554,0.0456857258
46.3,0.00208946656,0.0457106832
46.4,0.00209174325,0.0457355797
46.5,0.00209402304,0.0457604965
46.6,0.00209631303,0.0457855112
46.7,0.00209858579,0.045810324
46.8,0.00210088002,0.0458353578
46.9,0.00210309962,0.0458595641
47.0,0.00210525066,0.0458830106
47.1,0.00210739625,0.0459063857
47.2,0.00210949747,0.0459292659
47.3,0.0021116523,0.0459527181
47.4,0.00211382564,0.0459763596
47.5,0.00211596951,0.0459996686
47.6,0.00211812354,0.0460230762
