time,F_I,F_C,F_P,F_V,F_B,F_T,F_I_h,F_C_h,F_P_h,F_V_h,F_T_h,F_I_z,F_P_z,F_V_z,F_B_z,F_T_z
1420.0,4.99761797901086e-07,0.0005560165680157,0.0009124705832819,3.101454887275283e-06,0.0007016057469385,5.513279953976016e-06,4.996461733353118e-07,0.0005560165680157,0.000555672459912,3.0985484782056104e-06,5.438185931018404e-06,9.064418423928577e-09,0.000701022265585,1.1574628743802597e-07,0.0007016057469385,8.421671784247935e-07
1430.0,4.160833184626404e-07,0.0005206282379622,0.0008413336865317,3.171134500568475e-06,0.0006414981604421,7.130468444175277e-06,4.147235210032119e-07,0.0005206282379622,0.0005201064086327,3.0583731513848277e-06,6.98275491169147e-06,3.0752252775702414e-08,0.0006412282402138,7.752756438050398e-07,0.0006414981604421,1.245684866243022e-06
1440.0,3.575617766828931e-07,0.0004987284555753,0.0007423327006781,3.856260637973161e-06,0.0005393072372864,7.76419791996674e-06,3.535792534841396e-07,0.0004987284555753,0.0004979209324698,3.634540409259808e-06,7.670935253387155e-06,4.990684914077087e-08,0.0005382395797425,1.229916066833955e-06,0.0005393072372864,9.930104296708608e-07
1450.0,2.739858244727392e-07,0.0004697223750265,0.0006568377269376,3.213953967885934e-06,0.0004537695733319,6.222390437131982e-06,2.722898350024373e-07,0.0004697223750265,0.0004692003242247,3.1211664437569707e-06,6.0717516633373086e-06,2.9672414930966477e-08,0.000452162139077,7.238405781388745e-07,0.0004537695733319,1.183715650205706e-06
1460.0,2.201278257432042e-07,0.0004367449476618,0.0005947327342112,2.797650098393774e-06,0.0003985160485973,4.145593811392905e-06,2.190415742691892e-07,0.0004367449476618,0.0004364256985949,2.658639300221029e-06,4.0653977766618364e-06,2.0770597295085872e-08,0.0003975025405957,7.697395015804209e-07,0.0003985160485973,7.458733625845102e-07
1470.0,1.891713002019369e-07,0.0004045697000678,0.0005445526559332,3.2971175193184817e-06,0.0003592754740465,3.685365230786712e-06,1.8592538143863053e-07,0.0004045697000678,0.0004042572424278,2.884382037361497e-06,3.561175192063839e-06,3.21937199335212e-08,0.0003585281988234,1.426168519745897e-06,0.0003592754740465,9.098251952763812e-07
1480.0,1.902365220301967e-07,0.00037411229092,0.0005014398084161,5.398274917406588e-06,0.0003286613222652,4.346505399520195e-06,1.7732127639602157e-07,0.00037411229092,0.0003738492678226,4.304460099733152e-06,3.851392442421031e-06,6.353697086481552e-08,0.0003278629823674,2.978128119364333e-06,0.0003286613222652,1.9118263717228517e-06
1490.0,3.139849763109405e-07,0.0003525698223501,0.0004692310799111,1.0963361648760336e-05,0.0003047681097004,7.522481147886889e-06,2.72582574491531e-07,0.0003525698223501,0.0003521466836949,8.421827052019881e-06,5.89082021800956e-06,1.5027610148132225e-07,0.0003033914665572,6.474598803920491e-06,0.0003047681097004,4.369053817221552e-06
1500.0,1.0315677707528183e-06,0.000370935915375,0.0004754301115904,2.438220914358565e-05,0.0002943936686935,1.6075475389244227e-05,9.01173835838653e-07,0.000370935915375,0.0003697051461885,1.8415570383219147e-05,1.18981553367386e-05,4.880329555680147e-07,0.0002894731077731,1.4774012477666796e-05,0.0002943936686935,9.966712192828804e-06
1510.0,5.697680367275423e-06,0.0005246723104222,0.0006193960814252,5.530316600819336e-05,0.0003262030687593,3.936832155621114e-05,5.119523437710747e-06,0.0005246723104222,0.0005207682933422,4.049561874231648e-05,2.780153886637151e-05,2.4005101137471333e-06,0.000309330402655,3.4723254791764645e-05,0.0003262030687593,2.580362993368321e-05
1520.0,5.3160878315029376e-05,0.0010289017781064,0.0011609283858716,0.0001356743491834,0.0005214581884681,0.0001180791274289,4.6201143806780185e-05,0.0010289017781064,0.001023733402432,9.067651831673758e-05,7.896447079603166e-05,2.5420091594018784e-05,0.0004598481975252,9.533215136036446e-05,0.0005214581884681,8.348510961014429e-05
1530.0,0.0004488678315824,0.0026244827503276,0.003042361944071,0.0003989449084979,0.0012982547044455,0.000227972262522,0.0003787647824033,0.0026244827503276,0.0028008515417355,0.000244957548108,0.0001608634925911,0.0002271420387025,0.0010137826124576,0.0003066421643548,0.0012982547044455,0.0001533660081456
1540.0,0.0014589128867631,0.0053739219418642,0.0065606892070044,0.0008386842005341,0.0023772684638432,0.0004000157213022,0.0013490806717003,0.0053739219418642,0.0061952074389185,0.0005284998836758,0.0002703223021465,0.0005112339321087,0.0018400641756865,0.0006340985975943,0.0023772684638432,0.0002797650441216
1550.0,0.0022817289639706,0.0094268542670194,0.0113133929583247,0.0015540827741449,0.0042006023988512,0.0006634065222428,0.0020859838238134,0.0094268542670194,0.0106344613475787,0.0009478752992139,0.0004547158822263,0.0008501500724195,0.0032232472748967,0.0011946002587076,0.0042006023988512,0.0004577797677667
1560.0,0.0039404476019655,0.0153719085636747,0.0185166893586595,0.0026312137903427,0.0062709281528529,0.0007735663623779,0.0035534392712738,0.0153719085636747,0.0176120082134959,0.0016179411658855,0.0005561724476705,0.0015478419318069,0.004714786021809,0.0020133305906649,0.0062709281528529,0.0005087475076788
1570.0,0.0049602825933493,0.0194437208543334,0.0233081861795954,0.0032252711053323,0.0068164212598927,0.0008463005530658,0.0045657497967706,0.0194437208543334,0.0223685170419501,0.0020479842536227,0.0005714865896705,0.0017365605879123,0.0053508654552497,0.0024075321980024,0.0068164212598927,0.0005927874890595
1580.0,0.0043645800386503,0.0185841902939441,0.0219403848234842,0.0028887553385141,0.0058943893888883,0.0009093838625784,0.0040479066391455,0.0185841902939441,0.0211097021351561,0.0018990379813961,0.0006226751033823,0.0014522672377996,0.0048785803529346,0.0020956093543689,0.0058943893888883,0.0006259552729467
1590.0,0.0033369158702286,0.0146413143664625,0.0171026882748841,0.0021711600300916,0.0043209316414562,0.0007611124971288,0.0031029425162187,0.0146413143664625,0.0164881059147322,0.0014535364959369,0.0005404399924595,0.001088298582324,0.0037327432868158,0.0015494277703674,0.0043209316414562,0.0004989479233159
1600.0,0.0014865123844502,0.0091116366938064,0.0103319127949326,0.0011240793526411,0.0026768292534693,0.0005915636757531,0.0014223280323626,0.0091116366938064,0.009840661555837,0.0008184238778366,0.0004296704880719,0.000369363423917,0.0026134419864863,0.0007341891616566,0.0026768292534693,0.0003782890463255
1610.0,0.0001492042792122,0.0038411274538958,0.004236623205355,0.000240009035222,0.0016406257394769,0.0003171055779221,0.0001375776168641,0.0038411274538958,0.0038378695646955,0.0002083296863468,0.0002657805357594,5.303123754968064e-05,0.0016268851265436,0.0001137063211222,0.0016406257394769,0.000156104159216
1620.0,2.723985211689544e-05,0.0023352671474511,0.002682387589291,7.286448298128349e-05,0.0012609840231961,9.948107103148396e-05,2.630082770944925e-05,0.0023352671474511,0.0023232680384848,6.862113064028192e-05,9.098235046971724e-05,6.735303033741776e-06,0.0012629627300068,2.380302633779489e-05,0.0012609840231961,3.7671560007884905e-05
1630.0,1.0428423064637433e-05,0.0016688872934853,0.0019904440978835,3.3139134722814924e-05,0.0010488720289101,4.583491647701755e-05,1.0295222651493592e-05,0.0016688872934853,0.0016639641983,3.231230747737552e-05,4.403511284542664e-05,1.5570142852694218e-06,0.0010493603596061,7.093884979009044e-06,0.0010488720289101,1.2125600877362717e-05
1640.0,5.579896457124023e-06,0.0013253672289234,0.0016190254371747,1.888516229086106e-05,0.0009020477794705,2.571365520551477e-05,5.551179686950293e-06,0.0013253672289234,0.0013229041557663,1.859348900728765e-05,2.5141007624506744e-05,5.148809737977943e-07,0.0009023886219405,3.132615641707179e-06,0.0009020477794705,5.100257674578017e-06
1650.0,3.543602178871289e-06,0.0011080703254404,0.0013750611999028,1.2045588967260442e-05,0.0007903081657879,1.7128175818335713e-05,3.5353366235342e-06,0.0011080703254404,0.0011066762454945,1.1952252153857547e-05,1.682763338534157e-05,2.1303760454932802e-07,0.0007902295720979,1.3855718009979028e-06,0.0007903081657879,2.990627078433501e-06
1660.0,2.4940171374153278e-06,0.0009560782421055,0.0011989910937012,8.508259584524676e-06,0.0007008814898597,1.2282459414217572e-05,2.491116690139028e-06,0.0009560782421055,0.000955339108029,8.467213640431443e-06,1.215227550936002e-05,1.040667535046739e-07,0.0007006245384496,7.535531063035719e-07,0.0007008814898597,1.660090315283605e-06
1670.0,1.861734378876397e-06,0.0008430151920917,0.0010640597576626,6.430842754433595e-06,0.0006271531166735,9.36148896433476e-06,1.8607891833440797e-06,0.0008430151920917,0.0008425683305554,6.4143461257520205e-06,9.283555210982996e-06,5.1343717992104775e-08,0.0006266912587039,4.0904507266145326e-07,0.0006271531166735,1.116250778963705e-06
1680.0,1.4409699548112957e-06,0.0007543439787953,0.0009556459949099,5.194385091425067e-06,0.0005644931303487,7.821105543092764e-06,1.4404199558813326e-06,0.0007543439787953,0.0007540500358485,5.129432869973146e-06,7.704090224801569e-06,3.5724777813156244e-08,0.0005642397667595,7.202374430469735e-07,0.0005644931303487,1.250784888364311e-06
1690.0,1.206224974206967e-06,0.000684956286145,0.0008650296137268,5.629196917389639e-06,0.0005076797959896,7.725259848539715e-06,1.2030317308665294e-06,0.000684956286145,0.0006847601585859,5.158096985442706e-06,7.545959005839989e-06,8.296928204054127e-08,0.0005070185388131,2.130192444931014e-06,0.0005076797959896,1.5135980082300465e-06
1700.0,1.3381024801590229e-06,0.0006374604515608,0.0007941097194507,7.971061276330215e-06,0.0004557062429944,,1.3264515876940522e-06,0.0006374604515608,0.0006372238456275,6.913708350054965e-06,,1.672315829174545e-07,0.0004550769950389,3.6445796193295433e-06,0.0004557062429944,
