case,time,kinetic_energy,lc_w_z05_raw,lc_w_z_weighted_raw,convective_wavelength_z05_2pi_lc,convective_wavelength_z_weighted_2pi_lc,Lm_raw,MSE_integral_wavelength_2pi_Lm,mprime2_z025,mprime2_z050,mprime2_z075,mprime2_z_weighted
Ek7e-3_AR16,9.5,7.2169145e-10,0.0774405286,0.0779938057,0.48657319147974054,0.49004953402525947,0.0789747448,0.4962129561656174,8.11924959e-10,3.34414662e-09,4.04567541e-09,2.08326089e-09
Ek7e-3_AR16,9.6,7.7099027e-10,0.0776664493,0.0786860626,0.4879926931025682,0.4943991124081331,0.0791424063,0.4972664044389971,8.18166942e-10,3.49233898e-09,4.32373282e-09,2.19865877e-09
Ek7e-3_AR16,9.7,8.239772e-10,0.077881514,0.0793907237,0.48934398446570126,0.49882662867819416,0.0793014944,0.49826598445146425,8.24252568e-10,3.64904307e-09,4.62216173e-09,2.32192821e-09
Ek7e-3_AR16,9.8,8.80929265e-10,0.0780860983,0.0801083234,0.4906294255335409,0.5033354405696706,0.0794523,0.49921352398162466,8.30185839e-10,3.81483107e-09,4.94248756e-09,2.45365183e-09
Ek7e-3_AR16,9.9,9.4214458e-10,0.0782805822,0.0808393752,0.4918514039165039,0.5079287744982178,0.0795951188,0.5001108809673737,8.35971322e-10,3.9903162e-09,5.28635082e-09,2.59445595e-09
Ek7e-3_AR16,10.0,1.007939345e-09,0.0784653977,0.0815843746,0.4930126339506429,0.5126097437821554,0.0797302504,0.5009599378510293,8.41614181e-10,4.17615573e-09,5.6555161e-09,2.7450138e-09
Ek7e-3_AR16,10.1,1.078653615e-09,0.0786410084,0.0823437524,0.49411602852066644,0.5173810552177138,0.0798579994,0.5017626084908362,8.47120191e-10,4.37305406e-09,6.05188075e-09,2.9060488e-09
Ek7e-3_AR16,10.2,1.154655695e-09,0.0788077717,0.0831178005,0.4951638332370032,0.5222445428666841,0.0799786699,0.5025208036034462,8.5249572e-10,4.5817659e-09,6.47748569e-09,3.0783385e-09
Ek7e-3_AR16,10.3,1.236344575e-09,0.0789660676,0.0839067449,0.49615843571006996,0.5272016267289457,0.080092567,0.5032364401886966,8.57747789e-10,4.80310048e-09,6.93452618e-09,3.26271874e-09
Ek7e-3_AR16,10.4,1.324143705e-09,0.0791163806,0.0847107693,0.497102880143148,0.5322534610256395,0.0801999937,0.5039114220517353,8.62884085e-10,5.03792555e-09,7.42536391e-09,3.46008819e-09
Ek7e-3_AR16,10.5,1.4185075e-09,0.0792590758,0.0855297675,0.49799946052719307,0.5373993784824861,0.0803012531,0.5045476536260292,8.6791297e-10,5.28717165e-09,7.95253878e-09,3.6714127e-09
Ek7e-3_AR16,10.6,1.519929145e-09,0.0793944619,0.0863634477,0.4988501164815095,0.5426375456660126,0.0803966443,0.5051470142123035,8.72843492e-10,5.55183651e-09,8.51878249e-09,3.89773039e-09
Ek7e-3_AR16,10.7,1.6289353e-09,0.0795229484,0.0872112986,0.4996574209704804,0.5479647499835716,0.0804864605,0.5057113460404901,8.77685414e-10,5.83299013e-09,9.1270335e-09,4.14015722e-09
